path,split
danga/anhyangryeon/seong-dan-002 danga 1/04-anhyangnyeon-imsulji.csv,valid
"danga/ansukseon/seong-dan-001 danga/03-ansukseon(chang),jangdeokhwa(gosu)-mangogangsan.csv",valid
"danga/ansukseon/seong-dan-001 danga/11-ansukseon(chang),jangdeokhwa(gosu)-jeokbyeokbu.csv",train
"danga/baeseolhyang/pan-0-007 SPsidaeui pansori yeoryu myeongchangdeul 4 baeseolhyang,gimsohyang,baksochun,jonongok/01-baeseolhyang-chuwolgangsan.csv",train
danga/bagyangdeok/seong-dan-003 danga 2/05-bagyangdeok-mangogangsan.csv,train
danga/bagyangdeok/seong-dan-003 danga 2/06-bagyangdeok-eohwasesang.csv,valid
"danga/bakchowol/seong-dan-001 danga/09-bakchowol(chang),ijeongeop(gosu)-gangsangpungwol.csv",train
danga/bakchowol/seong-dan-004 dangajip 1/03-bakchowol-cheonhataeryeong(hongmunyeon).csv,test
danga/bakchowol/seong-dan-004 dangajip 1/04-bakchowol-yeuidongbang(cheoringa).csv,train
"danga/bakdongjin/seong-dan-001 danga/01-bakdongjin(chang),jangdeokhwa(gosu)-jingukmyeongsan.csv",train
"danga/bakdongjin/seong-dan-001 danga/06-bakdongjin(chang),jangdeokhwa(gosu)-gwangdaega.csv",train
danga/bakdongjin/seong-dan-006 bakdongjin (danga)/01-bakdongjin-jeokbyeokga.csv,train
danga/bakdongjin/seong-dan-006 bakdongjin (danga)/02-bakdongjin-jinguk myeongsan.csv,train
danga/bakdongjin/seong-dan-006 bakdongjin (danga)/03-bakdongjin-hongmunyeonga.csv,train
danga/bakdongjin/seong-dan-006 bakdongjin (danga)/04-bakdongjin-undam punggyeong.csv,train
danga/bakdongjin/seong-dan-006 bakdongjin (danga)/05-bakdongjin-gongdorani.csv,train
danga/bakdongjin/seong-dan-006 bakdongjin (danga)/06-bakdongjin-chohanga.csv,train
danga/bakgwihui/seong-dan-002 danga 1/05-bakgwihui-choroinsaeng.csv,train
danga/bakgwihui/seong-dan-002 danga 1/09-bakgwihui-cheonhataepyeong.csv,train
danga/bakgwihui/seong-dan-005 dangajip 2/01-bakgwihui-jukjangmanghye.csv,train
danga/bakgwihui/seong-dan-005 dangajip 2/02-bakgwihui-choroinsaeng(baekbalga).csv,test
danga/bakrokju/gimseonyeongsojang yuseonggieumban(MP3)/15 - undampunggyeong-baknokju(1933).csv,valid
"danga/bakrokju/pan-0-005 SPsidaeui pansori yeoryu myeongchangdeul 2 bakrokju,obichwi/01-bakrokju-jingukmyeongsan.csv",train
"danga/bakrokju/pan-0-005 SPsidaeui pansori yeoryu myeongchangdeul 2 bakrokju,obichwi/02-bakrokju-gwibulgwi.csv",valid
"danga/bakrokju/pan-0-005 SPsidaeui pansori yeoryu myeongchangdeul 2 bakrokju,obichwi/03-bakrokju-daegwangangsan.csv",train
danga/bakrokju/seong-dan-004 dangajip 1/05-bakrokju-hannoga.csv,train
danga/bakrokju/seong-dan-004 dangajip 1/06-bakrokju-undampunggyeong.csv,train
"danga/baksochun/pan-0-007 SPsidaeui pansori yeoryu myeongchangdeul 4 baeseolhyang,gimsohyang,baksochun,jonongok/08-baksochun-gangsangpungwol.csv",train
"danga/baksochun/pan-0-007 SPsidaeui pansori yeoryu myeongchangdeul 4 baeseolhyang,gimsohyang,baksochun,jonongok/09-baksochun-myeonggimyeongchang.csv",train
danga/baksonghui/seong-dan-007 inganmunhwajae baksonghui danga/01-baksonghui-insaengbaeknyeon.csv,train
danga/baksonghui/seong-dan-007 inganmunhwajae baksonghui danga/02-baksonghui-jingukmyeongsan.csv,train
danga/baksonghui/seong-dan-007 inganmunhwajae baksonghui danga/03-baksonghui-jeokbyeokbu.csv,train
danga/baksonghui/seong-dan-007 inganmunhwajae baksonghui danga/04-baksonghui-honamga.csv,train
danga/baksonghui/seong-dan-007 inganmunhwajae baksonghui danga/05-baksonghui-baekbalga.csv,train
danga/baksonghui/seong-dan-007 inganmunhwajae baksonghui danga/06-baksonghui-pyeonsichun.csv,train
danga/baksonghui/seong-dan-007 inganmunhwajae baksonghui danga/07-baksonghui-yeogaekgateun.csv,train
danga/baksonghui/seong-dan-007 inganmunhwajae baksonghui danga/08-baksonghui-hanroga.csv,train
danga/baksonghui/seong-dan-007 inganmunhwajae baksonghui danga/09-baksonghui-undampunggyeong.csv,train
danga/baksonghui/seong-dan-007 inganmunhwajae baksonghui danga/10-baksonghui-gangsangpungwol.csv,train
danga/baksonghui/seong-dan-007 inganmunhwajae baksonghui danga/11-baksonghui-mangogangsan.csv,train
danga/baksonghui/seong-dan-007 inganmunhwajae baksonghui danga/12-baksonghui-beotnimga.csv,train
danga/baksonghui/seong-dan-007 inganmunhwajae baksonghui danga/13-baksonghui-ssukdaemeori(pansori chunhyangga jung).csv,train
danga/bangjingwan/pan-0-014 bikteo yuseonggi wonban sirijeu 13 30nyeondae pansori geoljakjip/07-bangjingwan-danga nogeumbangcho.csv,train
danga/gimchangryong/pan-chun-030 pansori 5myeongchang gimchangryong/01-gimchangryong-danga_daejangbuhan.csv,train
"danga/gimchangryong/pan-chun-038 pansori5myeongchang/13-gimchangryong-daejangbu han(sang,ha).csv",train
danga/gimilgu/seong-dan-003 danga 2/10-gimilgu-sinbaekbalga.csv,train
danga/gimilgu/seong-dan-003 danga 2/11-gimilgu-gangsangpungwol.csv,train
danga/gimsohui/pan-0-008 gimsohui pansori ilsaeng/02-gimsohui-danga pyeonsichun.csv,train
danga/gimsohui/pan-0-008 gimsohui pansori ilsaeng/03-gimsohui-danga yeokryeogwagaek.csv,valid
danga/gimsohui/seong-dan-005 dangajip 2/03-gimsohui-yeokryeogwagaek.csv,train
danga/gimsohui/seong-dan-005 dangajip 2/04-gimsohui-pyeonsichun.csv,train
danga/gimsuhyeon/seong-dan-003 danga 2/07-gimsuhyeon-gogocheonbyeon.csv,train
danga/gimsuhyeon/seong-dan-003 danga 2/12-gimsuhyeon-hongmunyeonga.csv,train
danga/gimsuhyeon/seong-dan-003 danga 2/13-gimsuhyeon-jukjangmanghye.csv,train
danga/gimyeonsu/seong-dan-004 dangajip 1/01-gimyeonsu-sasipunggyeong(isan jeosan).csv,train
danga/gimyeonsu/seong-dan-004 dangajip 1/02-gimyeonsu-baekguga.csv,train
danga/gimyeoran/seong-dan-005 dangajip 2/07-gimyeoran-mangogangsan.csv,train
danga/gimyeoran/seong-dan-005 dangajip 2/08-gimyeoran-jeokbyeokbu.csv,train
danga/hannongseon/seong-dan-002 danga 1/07-hannongseon-pyeonsichun.csv,train
danga/hannongseon/seong-dan-002 danga 1/10-hannongseon-undampunggyeong.csv,train
danga/hannongseon/seong-dan-003 danga 2/08-hannongseon-baekbalga.csv,train
danga/hannongseon/seong-dan-003 danga 2/09-hannongseon-oknosachang.csv,train
danga/hannongseon/seong-dan-005 dangajip 2/05-hannongseon-eowacheongchun(bulsubin)(jangbuga).csv,valid
danga/hannongseon/seong-dan-005 dangajip 2/06-hannongseon-gongdonanri.csv,test
"danga/hapchang/seong-dan-008 ansukseon,josanghyeon changa/01-ansukseon(gueum),wonjanghyeon(daegeum),itaebaek(ajaeng),jeonghwayeong(janggo)-Intro.csv",train
"danga/hapchang/seong-dan-008 ansukseon,josanghyeon changa/02-ansukseon,josanghyeon(sori),wonjanghyeon(daegeum),itaebaek(ajaeng),jeonghwayeong(buk)-chunhyangga jung sarangga.csv",test
"danga/hapchang/seong-dan-008 ansukseon,josanghyeon changa/03-josanghyeon(sori),bakchunmaeng(buk)-danga_isanjeosan.csv",train
"danga/hapchang/seong-dan-008 ansukseon,josanghyeon changa/04-ansukseon(sori),jeonghwayeong(buk)-danga_eohwa sesang beotnimnedeul.csv",train
"danga/hapchang/seong-dan-008 ansukseon,josanghyeon changa/05-josanghyeon,ansukseon(sori),wonjanghyeon(daegeum),itaebaek(ajaeng),jeonghwayeong(buk)-simcheongga jung simbongsa nuntteuneun daemok.csv",train
danga/idongbaek/pan-0-014 bikteo yuseonggi wonban sirijeu 13 30nyeondae pansori geoljakjip/01-idongbaek-japga saetaryeong.csv,test
danga/idongbaek/pan-0-014 bikteo yuseonggi wonban sirijeu 13 30nyeondae pansori geoljakjip/02-idongbaek-danga baekbalga.csv,train
danga/idongbaek/pan-chun-038 pansori5myeongchang/10-idongbaek-gakjotaryeong(saetaryeong).csv,train
danga/idongbaek/pan-chun-038 pansori5myeongchang/11-idongbaek-gangsangyeongga(baekbalga).csv,train
danga/ihwajungseon/myeongchang ihwajungseon pansoriseonjip/10-ihwajungseon-chohanga.csv,valid
danga/ihwajungseon/pan-chun-035 hangugui widaehan pansori myeongchangdeul(III) ihwajungseon/01-ihwajungseon-sosangpalgyeong.csv,valid
danga/ihwajungseon/pan-chun-035 hangugui widaehan pansori myeongchangdeul(III) ihwajungseon/02-ihwajungseon-chohanga.csv,train
danga/imbangul/myeongchang imbangul pansoriseonjip/02-imbangul-pyeonsichun.csv,train
danga/imbangul/myeongchang imbangul pansoriseonjip/08-imbangul-chueok.csv,train
danga/imbangul/myeongchang imbangul pansoriseonjip/09-imbangul-myeonggimyeongchang.csv,train
danga/imbangul/myeongchang imbangul pansoriseonjip/10-imbangul-honamga.csv,train
danga/imbangul/pan-0-014 bikteo yuseonggi wonban sirijeu 13 30nyeondae pansori geoljakjip/04-imbangul-danga pyeonsichun.csv,train
danga/imbangul/pan-chun-032 pansori myeongchang imbangul jeonjip/01-imbangul-danga_honamga.csv,valid
danga/imbangul/pan-chun-032 pansori myeongchang imbangul jeonjip/02-imbangul-danga_myeonggi myeongchang.csv,train
danga/imbangul/pan-chun-034 hangugui widaehan pansori myeongchangdeul(II) imbangul/01-imbangul-pyeonsichun.csv,train
danga/imbangul/pan-chun-034 hangugui widaehan pansori myeongchangdeul(II) imbangul/03-imbangul-chueok.csv,train
danga/imbangul/pan-chun-034 hangugui widaehan pansori myeongchangdeul(II) imbangul/04-imbangul-myeonggimyeongchang.csv,test
danga/iseonyu/gimseonyeongsojang yuseonggieumban(MP3)/01 - danga wolhamong-iseonyu.csv,train
danga/iseonyu/pan-chun-036 pansorimyeongchang iseonyu/01-iseonyu-danga_yeokdaega(cheonjigwangtangga).csv,train
"danga/jonongok/pan-0-007 SPsidaeui pansori yeoryu myeongchangdeul 4 baeseolhyang,gimsohyang,baksochun,jonongok/14-jonongok-gangsange dungdung.csv",train
"danga/jonongok/pan-0-007 SPsidaeui pansori yeoryu myeongchangdeul 4 baeseolhyang,gimsohyang,baksochun,jonongok/15-jonongok-namhansanseong.csv",train
"danga/josanghyeon/seong-dan-001 danga/02-josanghyeon(chang),bakchunmaeng(gosu)-sacheolga.csv",test
danga/josanghyeon/seong-dan-002 danga 1/03-josanghyeon-sacheolga.csv,train
danga/jotongdal/seong-dan-002 danga 1/06-jotongdal-gowanggeumrae.csv,train
"danga/obichwi/pan-0-005 SPsidaeui pansori yeoryu myeongchangdeul 2 bakrokju,obichwi/10-obichwi-chohanga.csv",train
"danga/obichwi/pan-0-005 SPsidaeui pansori yeoryu myeongchangdeul 2 bakrokju,obichwi/11-obichwi-geumsugangsan.csv",train
"danga/ojeongsuk/seong-dan-001 danga/08-ojeongsuk(chang),jangdeokhwa(gosu)-honamga.csv",train
"danga/seongchangsun/seong-dan-001 danga/05-seongchangsun(chang),gimdeuksu(gosu)-hongmunyeonga.csv",train
"danga/seongchangsun/seong-dan-001 danga/07-seongchangsun(chang),gimdeuksu(gosu)-baekbalga.csv",train
"danga/seongchangsun/seong-dan-001 danga/10-seongchangsun(chang),gimdeuksu(gosu)-jukjangmanghye.csv",train
"danga/seongchangsun/seong-dan-001 danga/12-seongchangsun(chang),gimdeuksu(gosu)-undampunggyeong.csv",test
"danga/seongchangsun/seong-dan-001 danga/14-seongchangsun(chang),gimdeuksu(gosu)-pyeonsichun.csv",train
"danga/seongchangsun/seong-dan-001 danga/15-seongchangsun(chang),gimdeuksu(gosu)-gongdonani.csv",train
danga/seonguhyang/seong-dan-002 danga 1/08-seonguhyang-gangsangpungwol.csv,train
danga/seonguhyang/seong-dan-003 danga 2/03-seonguhyang-cheoringa.csv,train
danga/seonguhyang/seong-dan-003 danga 2/04-seonguhyang-jingukmyeongsan.csv,train
danga/seonguhyang/seong-dan-004 dangajip 1/07-seonguhyang-jingukmyeongsan.csv,train
danga/seonguhyang/seong-dan-004 dangajip 1/08-seonguhyang-gangsangpungwol.csv,train
danga/sinpyeongil/seong-dan-002 danga 1/11-sinpyeongil-honamga.csv,train
"danga/sinyeonghui/seong-dan-001 danga/04-sinyeonghui(chang),jangdeokhwa(gosu)-chunmongga.csv",train
"danga/sinyeonghui/seong-dan-001 danga/13-sinyeonghui(chang),jangdeokhwa(gosu)-chuhanga.csv",train
danga/sinyeonghui/seong-dan-003 danga 2/01-sinyeonghui-chohanga.csv,train
danga/sinyeonghui/seong-dan-003 danga 2/02-sinyeonghui-chunmongga.csv,valid
danga/sinyeonghui/seong-dan-003 danga 2/14-sinyeonghui-jangbuga.csv,test
danga/sinyugyeong/seong-dan-002 danga 1/01-sinyugyeong-jangbuga_eoacheongchun.csv,train
danga/sinyugyeong/seong-dan-002 danga 1/02-sinyugyeong-tamgyeongga_cheonsaengajae.csv,train
danga/songgideok/myeonginmyeongchangseonjip(6) dongpyeonje pansori/04-songgideok-danga sosangpalgyeong.csv,train
danga/songgideok/songmangap songgideok(1913)-seonyeongakhoe/Nip6131-sosangpalgyeongga-songgideok-(seonyeongakhoe).csv,test
madang12/baebijangtaryeong/bakdongjin/pan-0-012 inganmunhwajae bakdongjin pansori daejeonjip pansori baebijang taryeong/pan-0-012 inganmunhwajae bakdongjin pansori daejeonjip pansori baebijang taryeong CD1/01-bakdongjin-baebijang taryeong_baeseondal yebangsoimeuro immyeongdoeeo jejuro naeryeoganeun daemok.csv,valid
